,Protein,Subgraph,Degree,Information,Betweenness,Network,isoelectric point,negatively charged particle,positively charged particle,absorbance,Pred_Cluster
205,YGL003C,539000000000000.0,23,3.6126745000000002,12016.222,2.771645,8.80963,59,65,1.15567,-1
206,YJR090C,538000000000000.0,30,3.7397115,46460.926,3.0024897999999998,6.08075,137,124,0.61292,-1
207,YOR061W,538000000000000.0,64,3.9915602,85885.16,12.875017999999999,8.68475,41,46,1.5078799999999999,-1
208,YML115C,531000000000000.0,20,3.5367074,17281.875,0.6315789,5.22235,78,58,1.2704799999999998,-1
209,YGL173C,523000000000000.0,52,3.9367256,76347.21,2.4585707,7.042789999999999,206,203,0.91281,-1
210,YER125W,517000000000000.0,62,3.983797,212547.44,7.488657000000001,6.2439599999999995,104,97,1.23858,-1
211,YGL081W,510000000000000.0,23,3.6126745000000002,4218.0923,1.0909091,5.00897,57,40,0.49698000000000003,-1
212,YOR136W,503000000000000.0,26,3.6740646,27590.191000000003,1.7338596999999998,8.824160000000001,34,38,0.48528999999999994,-1
213,YKL193C,501000000000000.0,26,3.6740646,17871.34,1.593925,5.33807,54,42,0.5543,-1
214,YIL061C,500000000000000.0,67,4.0023093,210519.72,8.607555,9.97211,32,55,0.98515,-1
215,YDL185W,496000000000000.0,38,3.8346567000000005,27022.959,3.9676652000000003,5.82611,142,126,1.01631,-1
216,YNL230C,494000000000000.0,39,3.8440123,54977.43,2.649658,9.97162,39,71,0.574,-1
217,YCL064C,492000000000000.0,24,3.6345142999999998,7329.2686,1.4103261,8.954039999999999,33,41,0.6844600000000001,-1
218,YKL081W,489000000000000.0,29,3.7248504000000002,23192.781000000003,3.1208513,7.6273800000000005,55,56,1.8183799999999999,-1
219,YER025W,482000000000000.0,26,3.6740646,23392.045,4.046439,6.37421,71,68,0.39195,-1
220,YGR083C,479000000000000.0,23,3.6126745000000002,5386.5044,4.0429196,9.44098,66,86,0.39364,-1
221,YDR127W,473000000000000.0,25,3.6550762999999997,16630.584,2.3111472,5.888,191,165,0.9351799999999999,-1
222,YMR012W,470000000000000.0,35,3.80336,40131.496,0.45924369,5.9932300000000005,178,159,0.78188,-1
223,YIL095W,465000000000000.0,32,3.7673379999999996,43928.11,4.038274299999999,9.62579,77,108,0.49423,-1
224,YJR076C,463000000000000.0,37,3.824644,43189.14,5.426424,4.9368300000000005,73,51,0.61398,-1
225,YFR040W,463000000000000.0,29,3.7248504000000002,33779.617,1.5305383,4.55841,175,98,0.66813,-1
