Subgraph,Degree,Eigenvector,Information,LAC,Betweenness,Closeness,Network
5.39E+14,23,0.0317201,3.6126745,2.5217392,12016.222,0.022663444,2.771645
5.38E+14,30,0.03167676,3.7397115,2.5333333,46460.926,0.022719465,3.0024898
5.38E+14,64,0.031670984,3.9915602,5,85885.16,0.022716526,12.875018
5.31E+14,20,0.031482127,3.5367074,0.6,17281.875,0.022620153,0.6315789
5.23E+14,52,0.03122029,3.9367256,1.6538461,76347.21,0.022696173,2.4585707
5.17E+14,62,0.031064708,3.983797,2.387097,212547.44,0.022766903,7.488657
5.10E+14,23,0.030849986,3.6126745,1.0434783,4218.0923,0.022611916,1.0909091
5.03E+14,26,0.03061815,3.6740646,1.6153846,27590.191,0.022642784,1.7338597
5.01E+14,26,0.030584268,3.6740646,1.1538461,17871.34,0.022638759,1.593925
5.00E+14,67,0.030525062,4.0023093,2.5373135,210519.72,0.022737015,8.607555
4.96E+14,38,0.030424578,3.8346567,1.8421053,27022.959,0.022678483,3.9676652
4.94E+14,39,0.030366627,3.8440123,2,54977.43,0.02271916,2.649658
4.92E+14,24,0.030300884,3.6345143,1.3333334,7329.2686,0.022608904,1.4103261
4.89E+14,29,0.030197669,3.7248504,1.5862069,23192.781,0.022644598,3.1208513
4.82E+14,26,0.029990237,3.6740646,3.3846154,23392.045,0.022671718,4.046439
4.79E+14,23,0.029881291,3.6126745,3.3913043,5386.5044,0.02259155,4.0429196
4.73E+14,25,0.029706096,3.6550763,2.16,16630.584,0.02265185,2.3111472
4.70E+14,35,0.029605411,3.80336,0.4,40131.496,0.022692027,0.45924369
4.65E+14,32,0.02944198,3.767338,2.6875,43928.11,0.022720275,4.0382743
4.63E+14,37,0.029402614,3.824644,2.3243244,43189.14,0.02264903,5.426424
4.63E+14,29,0.029384298,3.7248504,1.3103448,33779.617,0.02268313,1.5305383
4.63E+14,23,0.029375147,3.6126745,2.0869565,11730.15,0.022635538,2.1861472
4.61E+14,30,0.029329067,3.7397115,1.2666667,42906.7,0.022629602,2.070348
4.60E+14,45,0.029304927,3.8928666,1.3777778,67467.3,0.022658704,2.7334907
4.53E+14,22,0.029074546,3.5892177,1.5454545,6836.1772,0.022623971,1.6269841
4.48E+14,25,0.028909678,3.6550763,0.08,7512.35,0.022609005,0.13257575
4.37E+14,27,0.028547635,3.6919663,2.7407408,26744.389,0.022621559,3.3874328
4.35E+14,20,0.028490597,3.5367074,1.3,4939.5435,0.022603285,1.3782895
4.35E+14,29,0.028475218,3.7248504,1.5172414,41957.215,0.022652354,2.228002
4.31E+14,15,0.02834552,3.359922,0.53333336,3274.7632,0.022571523,0.6298701
4.27E+14,32,0.028236404,3.767338,1.125,18873.09,0.022623971,1.803041
4.27E+14,19,0.028219068,3.5070434,1.8947369,19567.316,0.022630507,2.0982144
4.25E+14,24,0.028169058,3.6345143,0.41666666,15875.568,0.022651749,0.44544512
4.20E+14,15,0.02798885,3.359922,0.4,2449.206,0.022598067,0.55714285
4.19E+14,64,0.027964147,3.9915602,3.28125,134981.28,0.022718249,7.4495616
4.18E+14,23,0.027929712,3.6126745,1.3913044,8275.89,0.022639362,1.6323786
4.12E+14,64,0.027727475,3.9915602,4.15625,128561.3,0.022692127,20.361727
4.09E+14,36,0.027632022,3.8142917,0.2777778,50409.49,0.022642886,0.8689935
4.04E+14,39,0.027467184,3.8440123,2.4615386,39873.227,0.022677777,4.1099644
3.94E+14,24,0.027123423,3.6345143,1.5833334,19504.867,0.022626687,1.9652174
3.94E+14,75,0.027093526,4.027249,3.9466667,279090.7,0.022722607,12.926041
3.89E+14,30,0.026934378,3.7397115,0.4,39316.188,0.022577127,0.5847817
3.88E+14,20,0.026917186,3.5367074,0.7,14544.681,0.022582933,1.5153508
3.84E+14,34,0.02677059,3.7920728,1.4117647,57762.04,0.022652656,2.4313793
3.81E+14,36,0.026652925,3.8142917,1.4444444,59619.27,0.02267606,3.540397
3.75E+14,20,0.026464779,3.5367074,0.4,5144.416,0.022590047,0.42105263
3.75E+14,32,0.026452828,3.767338,12.3125,12521.584,0.022584938,15.316033
3.74E+14,72,0.026419269,4.018588,2.8333333,163030.86,0.022666067,17.086695
