Protein,Priority Fun_GO
YGR192C,0.143518519
YNL092W,0.143518519
YJR070C,0.143518519
YLR342W,0.143518519
YNL152W,0.143518519
YLR263W,0.143518519
YER007W,0.143518519
YNL023C,0.143518519
YLR086W,0.143518519
YEL066W,0.143518519
YBR083W,0.143518519
YGR238C,0.143518519
YKL008C,0.143518519
YER094C,0.143518519
YBR087W,0.143518519
YMR145C,0.143518519
YPL218W,0.143518519
YDR331W,0.143518519
YNL201C,0.143518519
YLL008W,0.143518519
YJR144W,0.143518519
YDL031W,0.143518519
YPL076W,0.143518519
YDR229W,0.143518519
YHR018C,0.143518519
YJL042W,0.143518519
YPR175W,0.143518519
YBR137W,0.143518519
YJL087C,0.143518519
YOR353C,0.143518519
YLL023C,0.143518519
YOR270C,0.143518519
YOR361C,0.143518519
YOR244W,0.143518519
YGR280C,0.143518519
YKL144C,0.143518519
YDR356W,0.143518519
YNL265C,0.143518519
YIR001C,0.143518519
YOR308C,0.143518519
YER009W,0.143518519
YMR162C,0.143518519
YHR022C,0.143518519
YLR377C,0.143518519
YER120W,0.143518519
YDL005C,0.143518519
YER029C,0.143518519
YPL211W,0.143518519
YEL055C,0.143518519
YNL333W,0.143518519
YDR165W,0.143518519
YGL179C,0.143518519
YKL214C,0.143518519
YBR252W,0.143518519
YNL315C,0.143518519
YML006C,0.143518519
YPR193C,0.143518519
YDL204W,0.143518519
YKL172W,0.143518519
YLR192C,0.143518519
YDL224C,0.143518519
YJR056C,0.143518519
YGL207W,0.143518519
YGR202C,0.143518519
YDL139C,0.143518519
YLR284C,0.143518519
YDL087C,0.143518519
YLR105C,0.143518519
YPL129W,0.143518519
YHR111W,0.143518519
YIL124W,0.143518519
YDR103W,0.143518519
YDR322C-A,0.143518519
YDL004W,0.143518519
Q0130,0.143518519
Q0080,0.143518519
YGR135W,0.143518519
YBR195C,0.143518519
YOR335C,0.143518519
YBR253W,0.143518519
YER070W,0.143518519
YBL005W,0.143518519
YMR241W,0.143518519
YPL249C,0.143518519
YGL104C,0.143518519
YJL047C,0.143518519
YNL056W,0.143518519
YOL069W,0.143518519
YOR057W,0.143518519
YDR436W,0.143518519
YDR378C,0.143518519
YMR080C,0.143518519
YJL151C,0.143518519
YOR294W,0.143518519
YGL040C,0.143518519
YFL014W,0.143518519
YLR371W,0.143518519
YJL218W,0.143518519
YHR065C,0.143518519
YLR153C,0.143518519
YPL089C,0.143518519
YNL176C,0.143518519
YPR040W,0.143518519
YER040W,0.143518519
YNL101W,0.143518519
YPL249C-A,0.143518519
YPR041W,0.143518519
YLR289W,0.143518519
YKR095W,0.143518519
YOR265W,0.143518519
YDR206W,0.143518519
YDR382W,0.143518519
YGL238W,0.143518519
YGR095C,0.143518519
YDR202C,0.143518519
YJL167W,0.143518519
YJL140W,0.143518519
YNL223W,0.143518519
YDR482C,0.143518519
YBR133C,0.143518519
YCR073C,0.143518519
YGL090W,0.143518519
YGL122C,0.143518519
YNL139C,0.143518519
YBL051C,0.143518519
YNR032W,0.143518519
YNL076W,0.143518519
YKL065C,0.143518519
YER047C,0.143518519
YNR007C,0.143518519
YDR054C,0.143518519
YPR091C,0.143518519
YLL018C,0.143518519
YKL013C,0.143518519
YLR373C,0.143518519
YDR139C,0.143518519
YCL008C,0.143518519
YGR130C,0.143518519
YLR115W,0.143518519
YDR309C,0.143518519
YMR216C,0.143518519
YIR009W,0.143518519
YLR249W,0.143518519
YNL020C,0.143518519
YIR006C,0.143518519
YHR098C,0.143518519
YKL140W,0.143518519
YLR267W,0.143518519
YGR060W,0.143518519
YER086W,0.143518519
YDR001C,0.143518519
YNR064C,0.143518519
YML065W,0.143518519
YCL054W,0.143518519
YAL043C,0.143518519
YDL230W,0.143518519
YBR170C,0.143518519
YGL200C,0.143518519
YFL022C,0.143518519
YPL160W,0.143518519
YKL002W,0.143518519
YER164W,0.143518519
YFR034C,0.143518519
YCR034W,0.143518519
YBL050W,0.143518519
YDR465C,0.143518519
YHR035W,0.143518519
YJR010C-A,0.143518519
YKL215C,0.143518519
YPR124W,0.143518519
YMR068W,0.143518519
YBR132C,0.143518519
YFR050C,0.143518519
YDL015C,0.143518519
YHR025W,0.143518519
YGL221C,0.143518519
YPL246C,0.143518519
YGR099W,0.143518519
YMR028W,0.143518519
YHR023W,0.143518519
YPR019W,0.143518519
YPL010W,0.143518519
YIL022W,0.143518519
YIR034C,0.143518519
YCR066W,0.143518519
YDR022C,0.143518519
YDR176W,0.143518519
YLR321C,0.143518519
YKL059C,0.143518519
YBL032W,0.143518519
YNL166C,0.143518519
YCR030C,0.143518519
YOR001W,0.143518519
YHR019C,0.143518519
YBR227C,0.143518519
YOR017W,0.143518519
YFL059W,0.143518519
