P07170,YDR226W
P11978,YDR227W
P39081,YDR228C
Q04934,YDR229W
Q04947,YDR233C
Q03776,YDR235W
Q03778,YDR236C
P36519,YDR237W
P41810,YDR238C
Q03780,YDR239C
Q03782,YDR240C
P23394,YDR243C
P35056,YDR244W
P50108,YDR245W
Q03784,YDR246W
Q03785,YDR247W
Q03788,YDR250C
P37304,YDR251W
P40314,YDR252W
Q12041,YDR253C
P38907,YDR254W
Q12508,YDR255C
P15202,YDR256C
Q03935,YDR259C
Q12379,YDR260C
Q99303,YDR261W-A
Q12331,YDR262W
Q12086,YDR263C
P39010,YDR264C
Q05568,YDR265W
Q05580,YDR266C
Q05583,YDR267C
P04803,YDR268W
P87281,YDR269C
P38995,YDR270W
P87282,YDR271C
Q05610,YDR273W
Q05611,YDR275W
P87284,YDR276C
P35198,YDR277C
Q05635,YDR279W
Q05636,YDR280W
Q05637,YDR281C
P15442,YDR283C
Q05521,YDR284C
P31111,YDR285W
Q05530,YDR286C
Q05533,YDR287W
Q05543,YDR289C
P87280,YDR290W
Q05549,YDR291W
P32916,YDR292C
P24276,YDR293C
Q06629,YDR295C
Q06630,YDR296W
P38992,YDR297W
P09457,YDR298C
Q06631,YDR299W
P32264,YDR300C
Q06632,YDR301W
Q06639,YDR303C
P49775,YDR305C
Q06640,YDR306C
Q06644,YDR307W
P47822,YDR308C
Q06648,YDR309C
P46676,YDR310C
P32776,YDR311W
Q12153,YDR312W
Q06651,YDR313C
Q06665,YDR314C
Q06667,YDR315C
Q06668,YDR316W
Q06674,YDR317W
Q06675,YDR318W
Q06676,YDR319C
Q06677,YDR320C
P38986,YDR321W
P81449,YDR322C-A
Q06678,YDR322W
P32609,YDR323C
Q06679,YDR324C
Q06681,YDR326C
P87288,YDR327W
P52286,YDR328C
P28795,YDR329C
P49018,YDR331W
Q06683,YDR332W
Q05468,YDR333C
Q05471,YDR334W
P52918,YDR335W
P21771,YDR337W
Q05498,YDR339C
Q05503,YDR340W
Q05506,YDR341C
P39004,YDR342C
P39003,YDR343C
Q05510,YDR344C
P32466,YDR345C
Q05515,YDR346C
P10662,YDR347W
Q05518,YDR348C
Q06325,YDR349C
P50273,YDR350C
P42223,YDR351W
P29509,YDR353W
P32380,YDR356W
Q06333,YDR357C
Q06337,YDR359C
Q06338,YDR361C
Q06339,YDR362C
O94742,YDR363W-A
P40968,YDR364C
Q06344,YDR365C
P87287,YDR366C
Q06346,YDR367W
Q12458,YDR368W
P33301,YDR369C
Q06349,YDR370C
Q06350,YDR371W
Q06385,YDR372C
Q06389,YDR373W
Q06390,YDR374C
P48360,YDR376W
Q06405,YDR377W
Q06406,YDR378C
Q06407,YDR379W
Q06408,YDR380W
Q12159,YDR381W
P02400,YDR382W
Q12493,YDR383C
Q12359,YDR384C
Q04149,YDR386W
Q04162,YDR387C
P39743,YDR388W
P17121,YDR389W
P52488,YDR390C
P06844,YDR392W
P33298,YDR394W
Q04175,YDR395W
Q92317,YDR397C
Q04177,YDR398W
Q04178,YDR399W
P21623,YDR403W
P34087,YDR404C
P32387,YDR405W
Q04183,YDR407C
P04161,YDR408C
Q04195,YDR409W
P32584,YDR410C
Q04031,YDR412W
P87266,YDR413C
P16151,YDR414C
Q04033,YDR415C
Q04048,YDR416W
Q04049,YDR419W
P32578,YDR422C
P24813,YDR423C
Q02647,YDR424C
Q04053,YDR425W
Q04062,YDR427W
Q04066,YDR428C
Q04067,YDR429C
P32898,YDR430C
Q01560,YDR432W
P87269,YDR433W
Q04081,YDR435C
P33329,YDR436W
Q04083,YDR438W
Q04087,YDR439W
P36973,YDR441C
P38931,YDR443C
Q04093,YDR444W
Q04100,YDR445C
Q04110,YDR446W
Q02336,YDR448W
Q02354,YDR449C
P0CX55,YDR450W
Q04119,YDR452W
Q04120,YDR453C
P87271,YDR455C
Q04121,YDR456W
Q03280,YDR457W
Q03289,YDR459C
Q03290,YDR460W
P34165,YDR461W
P36527,YDR462W
Q00947,YDR463W
P38904,YDR464W
Q03305,YDR465C
Q03306,YDR466W
Q03322,YDR468C
Q03323,YDR469W
Q03337,YDR472W
Q03338,YDR473C
Q03361,YDR475C
P06782,YDR477W
Q03370,YDR479C
Q03373,YDR480W
Q03375,YDR482C
P27809,YDR483W
P39904,YDR484W
Q03388,YDR485C
Q99258,YDR487C
P40960,YDR488C
Q03406,YDR489W
Q03407,YDR490C
Q03419,YDR492W
Q04373,YDR496C
P30605,YDR497C
P28791,YDR498C
Q04377,YDR499W
P51402,YDR500C
P19358,YDR502C
Q04396,YDR503C
Q04398,YDR504C
P50896,YDR505C
Q04399,YDR506C
Q12263,YDR507C
P48813,YDR508C
Q12306,YDR510W
Q04401,YDR511W
Q04406,YDR512C
Q04408,YDR514C
Q12034,YDR515W
Q04409,YDR516C
Q04410,YDR517W
Q04411,YDR520C
P08458,YDR523C
Q04412,YDR524C
P87274,YDR526C
Q04418,YDR527W
Q04429,YDR528W
P00128,YDR529C
P22108,YDR530C
Q04430,YDR531W
Q04431,YDR532C
Q04432,YDR533C
Q04433,YDR534C
P39932,YDR536W
P33751,YDR538W
Q03049,YDR541C
Q03050,YDR542W
P0CX20,YDR545W
P33767,YEL002C
P40005,YEL003W
P40004,YEL004W
P40003,YEL005C
P39953,YEL006W
P40001,YEL008W
P03069,YEL009C
P32775,YEL011W
P28263,YEL012W
P39968,YEL013W
P39998,YEL015W
P39997,YEL016C
P40975,YEL017C-A
P39996,YEL017W
P39995,YEL018W
P38632,YEL019C
P39994,YEL020C
O74700,YEL020W-A
P03962,YEL021W
P39992,YEL023C
P39990,YEL026W
P25515,YEL027W
P39987,YEL030W
P39986,YEL031W
P24279,YEL032W
P23301,YEL034W
P32629,YEL036C
P32628,YEL037C
P32626,YEL038W
P00045,YEL039C
P32622,YEL041W
P32621,YEL042W
P32618,YEL043W
P37303,YEL046C
P32613,YEL048C
P32612,YEL049W
P32610,YEL051W
Q02197,YEL053C
P0CX53,YEL054C
P39985,YEL055C
P39984,YEL056W
P39983,YEL057C
P38628,YEL058W
P39982,YEL059W
P09232,YEL060C
P27895,YEL061C
P39923,YEL062W
P04817,YEL063C
P39981,YEL064C
P39979,YEL066W
P39977,YEL068C
P39924,YEL069C
P0CX08,YEL070W
P39976,YEL071W
P39975,YEL072W
P39973,YEL074W
P39972,YEL075C
Q3E7X8,YEL077C
P40007,YER002W
P40008,YER004W
P40009,YER005W
P40010,YER006W
P89886,YER007C-A
P39937,YER007W
P33332,YER008C
P33331,YER009W
P40011,YER010C
P10863,YER011W
P22141,YER012W
P24384,YER013W
P39518,YER015W
P40013,YER016W
P39925,YER017C
P40014,YER018C
P52871,YER019C-A
P40015,YER019W
P10823,YER020W
P40016,YER021W
P32569,YER022W
P32263,YER023W
P32481,YER025W
P08456,YER026C
Q04739,YER027C
P39943,YER028C
P40018,YER029C
P40019,YER030W
P38555,YER031C
P40020,YER032W
P40021,YER033C
P40024,YER036C
P40025,YER037W
P40026,YER038C
P18494,YER040W
P40028,YER041W
P39954,YER043C
P40030,YER044C
P39970,YER045C
P39955,YER047C
P39101,YER048C
P40032,YER049W
P40034,YER051W
P10869,YER052C
P40035,YER053C
P40036,YER054C
P00498,YER055C
P17064,YER056C
P40037,YER057C
Q02771,YER058W
P40038,YER059W
Q12119,YER060W-A
P39525,YER061C
P40106,YER062C
P40040,YER063W
P40041,YER064C
P28240,YER065C
P87263,YER066C-A
P40042,YER066W
P40043,YER067W
P34909,YER068W
Q01217,YER069W
P21524,YER070W
P40045,YER071C
P40047,YER073W
P40048,YER075C
P40049,YER076C
P40050,YER077C
P40051,YER078C
P40052,YER079W
P40054,YER081W
P40055,YER082C
P40056,YER083C
P40057,YER084W
P00927,YER086W
P52870,YER087C-B
P40059,YER088C
P39966,YER089C
P00899,YER090W
P05694,YER091C
P40060,YER092W
P40061,YER093C
P25451,YER094C
P25454,YER095W
P39000,YER096W
P38620,YER099C
P33296,YER100W
P22202,YER103W
P40063,YER104W
P40064,YER105C
P40065,YER106W
P40066,YER107C
P40068,YER109C
P40069,YER110C
P25302,YER111C
P40070,YER112W
P40071,YER113C
P39969,YER114C
Q01684,YER115C
P40072,YER116C
